nTopics,PCA,max_iter,f_score1,balanced_accuracy1,precision_macro1,recall_macro1,f_score_macro1,precision_weighted1,recall_weighted1,f_score_weighted1,kappa1,kappa_linear1,kappa_quadratic1,f_score2,balanced_accuracy2,precision_macro2,recall_macro2,f_score_macro2,precision_weighted2,recall_weighted2,f_score_weighted2,kappa2,kappa_linear2,kappa_quadratic2
3000,20,5000,0.4715549936788875,0.16627766788846746,0.15164094899130423,0.16627766788846746,0.15371345104408002,0.39728623829796755,0.4715549936788875,0.4238581660068943,0.33687387811995473,0.29175033650357696,0.2774724022098338,0.3388116308470291,0.1759715240591035,0.16705652997493453,0.1759715240591035,0.15347685146320802,0.41911951947894066,0.3388116308470291,0.36140189329844824,0.23745474787840348,0.23256298763324756,0.25328429526402163
3000,50,5000,0.46523388116308473,0.16275800274210783,0.1480446455398887,0.16275800274210783,0.1499945987565456,0.39018701839826314,0.46523388116308473,0.41679570070534483,0.32853235293527416,0.2841083630678871,0.26863756093393576,0.20859671302149177,0.12490906837899753,0.1667962970829089,0.12490906837899753,0.11742765786658357,0.4265861536392588,0.20859671302149177,0.2634140518413866,0.13923544535282117,0.11844417759469417,0.13742986431970994
3000,150,5000,0.47029077117572693,0.16496563268696404,0.1480082459750667,0.16496563268696404,0.15205118058523842,0.395391928891379,0.47029077117572693,0.42216181722508345,0.3356831602198427,0.29744726648659425,0.2879420601372007,0.1820480404551201,0.07626575495777446,0.18072172447379348,0.07626575495777446,0.09839352651555192,0.43573424293385954,0.1820480404551201,0.24262023077156258,0.12142041699212891,0.1430854103127236,0.19224848922372895
3000,300,5000,0.4664981036662453,0.1635429320984658,0.14769679271856712,0.1635429320984658,0.15089191794186455,0.3914715558678613,0.4664981036662453,0.41864916379203715,0.33046909004113845,0.2857366535829955,0.2690872162206256,0.28445006321112515,0.1246642494868825,0.1542546727096172,0.1246642494868825,0.12985021054911847,0.4072585327820052,0.28445006321112515,0.3256032079248747,0.18738088582827217,0.09641275516812531,0.03527936916423369
3000,500,5000,0.47281921618204803,0.1670625972448254,0.15113613961559388,0.1670625972448254,0.15452998043338503,0.39872179433234256,0.47281921618204803,0.4254916504353573,0.33864600146367385,0.30074990822801395,0.28994164316424187,0.30720606826801516,0.1500069535104544,0.16748185110111374,0.1500069535104544,0.13803067909428254,0.41992110850510433,0.30720606826801516,0.3350367403264648,0.20875020763854268,0.17231473449408274,0.15980319290805944
3000,1000,5000,0.47281921618204803,0.16667692011253724,0.1509289283603366,0.16667692011253724,0.1538409453357616,0.3976040760480145,0.47281921618204803,0.4243328285125227,0.33840722874650253,0.3075139602698844,0.3011073546762324,0.3147914032869785,0.1512396310478105,0.17700358303072244,0.1512396310478105,0.15291768038844025,0.427103738939139,0.3147914032869785,0.3508566341394146,0.21634495868977122,0.13281871836845027,0.09051227486111457
3000,1250,5000,0.4690265486725664,0.16484923788860892,0.14878571782140174,0.16484923788860892,0.15211665916510336,0.39395370248234474,0.4690265486725664,0.42090857214908856,0.3335459759392885,0.29724746017473447,0.2869343791863752,0.3211125158027813,0.16309057898467913,0.1633433969546084,0.16309057898467913,0.14939054367262453,0.41729744313114797,0.3211125158027813,0.3541487583027633,0.22107407706244353,0.1843661360020289,0.16945914975424503
3000,1500,5000,0.47281921618204803,0.16694047303510992,0.1520659307145696,0.16694047303510992,0.15443512519360753,0.3987791948389829,0.47281921618204803,0.4251373748788494,0.3385849981652258,0.2971315844171666,0.2837869316349195,0.3438685208596713,0.15877006053417278,0.17041719456656937,0.15877006053417278,0.15553727930239192,0.43759032739995746,0.3438685208596713,0.37790380537385587,0.24307197038140582,0.1897273083417529,0.1605071211504442
3000,2000,5000,0.46776232616940583,0.16444998566453917,0.149248981093164,0.16444998566453917,0.15229141233476384,0.39521833929479366,0.46776232616940583,0.4213363611311149,0.3325135346951211,0.2948948575726441,0.2875024156531467,0.3211125158027813,0.16595071012248028,0.17032283842124138,0.16595071012248028,0.154830787442141,0.4229620595215614,0.3211125158027813,0.3550950367544638,0.2234450784202242,0.17303618617384997,0.15358520441010348
3000,3000,5000,0.47029077117572693,0.16549273853210952,0.15010834641019627,0.16549273853210952,0.153003956466526,0.39588770516513305,0.47029077117572693,0.422615396173309,0.33533144285032435,0.2948912217620683,0.28469466673751276,0.24399494310998734,0.14945351440693888,0.1793289909544951,0.14945351440693888,0.1443532874844782,0.4327175981341762,0.24399494310998734,0.29807741906336205,0.16779470470151714,0.17885417038471718,0.20994553796606397
